product_name,product_price,product_price_range,product_type,product_body,product_variety,product_country,product_region,product_size,product_vintage,product_closure,product_seller,year
M&J Becker Wines Hunter Valley Chardonnay,$32.00,$31 to $40,White,Body,Chardonnay,Australia,Hunter Valley,750ml,2024,Cork,Hunter Valley,2024
Mercer Wines Chardonnay,$28.00,$30 or Less,White,Body,Chardonnay,Australia,Hunter Valley,750ml,750ml,Screw Cap,Hunter Valley,2024
Mercer Wines PF Pinot Gris,$24.00,$30 or Less,White,Body,Pinot Gris/Grigio,Australia,Hilltops,750ml,2024,Screw Cap,Hilltops,2024
Mercer Wines Montepulciano,$32.00,$31 to $40,Red,Body,Montepulciano,Australia,Central Ranges,750ml,92,Screw Cap%,Central Ranges,2023
Express Winemakers Drinking Wine Red,$28.00,$30 or Less,Red,Body,Shiraz,Australia,Great Southern,750ml,750ml,Screw Cap,Great Southern,2023
Mitchell Watervale Riesling,$20.00,$30 or Less,White,Body,Riesling,Australia,McLaren Vale,750ml,High Score,"James Suckling
Wine Pilot
The Real Review
The Wine Front
Halliday Wine Companion",Clare Valley,2024
Discover Unico Zelo Wines Pack,$135.00,$30 or Less,Red,Australian State,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,McLaren Vale,2024
Mercer Wines Bianco Vermentino,$29.00,$30 or Less,White,Body,Vermentino,Australia,Hunter Valley,750ml,2025,Screw Cap,Hunter Valley,2025
Nick Spencer Gundagai Rose,$26.00,$30 or Less,Rosé,Body,Grenache,Australia,McLaren Vale,750ml,The Wine Front,Screw Cap,Gundagai,2025
Garagiste Wines Masterclass Pack,$249.00,$41 to $50,Red,Region,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,Mornington Peninsula,2024
Head Old Vine Grenache,$39.00,$31 to $40,Red,Body,Grenache,Australia,Barossa Valley,750ml,96,Screw Cap%,Barossa Valley,2023
Scarborough Yellow Label Chardonnay,$23.00,$30 or Less,White,Body,Chardonnay,Australia,Hunter Valley,750ml,90,Screw Cap%,Hunter Valley,2022
Discover Gentle Folk Wines Pack,$219.00,Australia,Adelaide Hills,Australian State,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,Adelaide Hills,2024
Chatto Lutruwita Pinot Noir,$44.00,$41 to $50,Red,Body,Pinot Noir,Australia,Tasmania,750ml,94,Screw Cap%,Tasmania,2024
Head Red GSM,$25.00,$30 or Less,Red,Body,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,Barossa Valley,2022
The Other Wine Co Sangiovese,$28.00,$30 or Less,Red,Body,Sangiovese,Australia,Adelaide Hills,750ml,2024,Screw Cap,Adelaide Hills,2024
Dominique Portet Fontaine Cabernets,$28.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,Yarra Valley,2024
Mercer Wines PF Fizz,$24.00,$30 or Less,Sparkling,Sub Type,Grenache,Chardonnay,McLaren Vale,750ml,"Vegan
Low Preservative",Screw Cap%,Central Ranges,2024
Fighting Gully Road Sangiovese,$35.00,$31 to $40,Red,Body,Sangiovese,Australia,Beechworth,750ml,Halliday Wine Companion,Screw Cap,Beechworth,2024
Jean Foillard Morgon Cote du Py,$99.00,$101 and Above,Red,Body,Gamay,France,Beaujolais,750ml,94,Screw Capml,Beaujolais,2023
Giant Steps Yarra Valley Pinot Noir,$38.00,$31 to $40,Red,Body,Pinot Noir,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",Yarra Valley,2024
Dune The Empty Quarter GSM,$25.00,$30 or Less,Red,Body,Grenache,Australia,McLaren Vale,750ml,"The Wine Front
Halliday Wine Companion","Screw Cap
Screw Cap",McLaren Vale,2023
Tar & Roses Pinot Grigio,$20.00,$30 or Less,White,Body,Pinot Gris/Grigio,Australia,King Valley,750ml,Halliday Wine Companion,Screw Cap,King Valley,2024
Cirillo Vincent Grenache,$23.00,$30 or Less,Red,Body,Grenache,Australia,Barossa Valley,750ml,2024,Screw Cap,Barossa Valley,2024
Garagiste Le Stagiaire Pinot Noir,$29.00,$31 to $40,Red,Body,Pinot Noir,Australia,Mornington Peninsula,750ml,"The Wine Front
Halliday Wine Companion","Screw Cap
Screw Cap",Mornington Peninsula,2024
Thistledown Sands of Time Grenache,$85.00,$51 to $100,Red,Body,Grenache,Australia,McLaren Vale,750ml,"The Wine Advocate
The Real Review
The Wine Front
Halliday Wine Companion
James Suckling","Screw Cap
Screw Cap
Screw Cap",McLaren Vale,2024
Shaw + Smith Sauvignon Blanc,$29.00,$30 or Less,White,Body,Sauvignon Blanc,Australia,Adelaide Hills,750ml,92,Screw Cap%,Adelaide Hills,2025
Envinate Palo Blanco,$85.00,$51 to $100,White,Body,Grenache,Spain,McLaren Vale,750ml,11.5%,Screw Capml,Tenerife,2023
Gentle Folk Sangiovese,$40.00,$41 to $50,Red,Body,Sangiovese,Australia,Adelaide Hills,750ml,"93
94",Screw Cap%,Adelaide Hills,2024
Elanto Vineyard Chardonnay,$82.00,$51 to $100,White,Body,Chardonnay,Australia,Mornington Peninsula,750ml,Halliday Wine Companion,Screw Cap,Mornington Peninsula,2024
Stargazer Chardonnay,$70.00,$51 to $100,White,Body,Chardonnay,Australia,Tasmania,750ml,Halliday Wine Companion,Screw Cap,Tasmania,2024
NV Bandini Prosecco,$20.00,$30 or Less,Sparkling,Body,Grenache,Italy,Veneto,750ml,Cork,nan,Veneto,2024
Wickhams Road Yarra Valley Chardonnay,$20.00,$30 or Less,White,Body,Chardonnay,Australia,Gippsland,750ml,13%,Screw Capml,Gippsland,2024
Gentle Folk Chardonnay,$45.00,$41 to $50,White,Body,Chardonnay,Australia,Adelaide Hills,750ml,94,Screw Cap%,Adelaide Hills,2024
Cirillo 1850 Ancestor Vine Grenache,$70.00,$51 to $100,Red,Body,Grenache,Australia,Barossa Valley,750ml,"Halliday Wine Companion
The Vintage Journal",Screw Cap,Barossa Valley,2018
Dune Blewitt Springs Shiraz,$25.00,$30 or Less,Red,Body,Shiraz,Australia,McLaren Vale,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",McLaren Vale,2023
Dog Point Sauvignon Blanc,$27.00,$30 or Less,White,Body,Sauvignon Blanc,New Zealand,Marlborough,750ml,"97
94",Screw Cap.Screw Cap%,Marlborough,2024
Giant Steps Applejack Vineyard Pinot Noir,$100.00,$101 and Above,Red,Body,Pinot Noir,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front",Screw Capml,Yarra Valley,2024
Stefano Lubiana Primavera Pinot Noir,$42.00,$41 to $50,Red,Body,Pinot Noir,Australia,McLaren Vale,750ml,750ml,Screw Cap,Derwent Valley,2024
MV Deviation Road Altair Sparkling Rosé,$33.00,$31 to $40,Sparkling,Sub Type,Pinot Noir,Australia,Adelaide Hills,750ml,Halliday Wine Companion,"Screw Cap
Screw Cap",Adelaide Hills,2024
Bondar Junto GSM,$30.00,$31 to $40,Red,Body,Grenache,Australia,McLaren Vale,750ml,"The Wine Front
Halliday Wine Companion","Screw Cap
Screw Cap",McLaren Vale,2024
Domaine Naturaliste Floris Chardonnay,$32.00,$31 to $40,White,Body,Chardonnay,Australia,Margaret River,750ml,"Halliday Wine Companion
Wine Pilot
The Weekend Australian","Screw Cap
Screw Cap",Margaret River,2023
